N,Optimal/Feasible,Time,Risk,Marginal
214,Optimal,0.22,30386,=D215 - D214
215,Optimal,0.22,30798,=D216 - D215
216,Optimal,0.19,31210,=D217 - D216
217,Optimal,0.23,31622,=D218 - D217
218,Optimal,0.17,32034,=D219 - D218
219,Optimal,0.11,32446,=D220 - D219
220,Optimal,0.19,32858,=D221 - D220
221,Optimal,0.20,33270,=D222 - D221
222,Optimal,0.20,33682,=D223 - D222
223,Optimal,0.20,34094,=D224 - D223
224,Optimal,0.06,34506,=D225 - D224
225,Optimal,0.20,34918,=D226 - D225
226,Optimal,0.03,35330,=D227 - D226
